fecha,equipo,rival,entrenador,alineacion,goles_a_favor,goles_en_contra,resultado,puntos,puntos_acumulados,resultado_texto,estadio,ciudad,capacidad,altitud,disparos,disparos_al_arco,posesion,pases,pases_completados_en_porcentaje,faltas,tarjetas_amarillas,tarjetas_rojas,offsides,corners,jornada
2023-09-12,Venezuela,Paraguay,Fernando Batista,4-4-2,1,0,1-0,3,3,Victoria,Estadio Monumental de Maturín,Maturin,51796,220,11,3,54,318,70,13,3,0,0,7,02
2023-09-12,Paraguay,Venezuela,Guillermo Barros Schelotto,4-3-3,0,1,0-1,0,1,Derrota,Estadio Monumental de Maturín,Maturin,51796,220,18,5,46,275,67,14,4,0,0,5,02
2023-09-12,Chile,Colombia,Eduardo Berizzo,4-3-3,0,0,0-0,1,1,Empate,Estadio Monumental David Arellano,Macul,47000,1883,10,5,51,413,75,13,1,0,3,6,02
2023-09-12,Colombia,Chile,Nestor Lorenzo,4-3-3,0,0,0-0,1,4,Empate,Estadio Monumental David Arellano,Macul,47000,1883,8,2,49,403,81,19,5,0,1,3,02
2023-09-12,Peru,Brazil,Juan Reynoso,4-4-2,0,1,0-1,0,1,Derrota,Estadio Nacional de Lima,Lima,50086,505,6,0,37,347,80,20,3,0,4,4,02
2023-09-12,Brazil,Peru,Fernando Diniz,4-2-3-1,1,0,1-0,3,6,Victoria,Estadio Nacional de Lima,Lima,50086,505,9,3,63,590,87,14,2,0,3,4,02
2023-10-12,Colombia,Uruguay,Nestor Lorenzo,4-2-3-1,2,2,2-2,1,5,Empate,Estadio Metropolitano,Barranquilla,46692,59,14,4,48,383,81,17,0,1,0,3,03
2023-10-12,Uruguay,Colombia,Marcelo Bielsa,4-2-3-1,2,2,2-2,1,4,Empate,Estadio Metropolitano,Barranquilla,46692,59,15,6,52,395,83,10,0,0,0,2,03
2023-10-12,Bolivia,Ecuador,Gustavo Costas,5-3-2,1,2,1-2,0,0,Derrota,Estadio Hernando Siles,La Paz,41143,11975,16,4,33,334,74,10,1,0,0,5,03
2023-10-12,Ecuador,Bolivia,Felix Sanchez Bas,4-2-3-1,2,1,2-1,3,3,Victoria,Estadio Hernando Siles,La Paz,41143,11975,8,3,67,276,80,9,0,0,0,0,03
2023-10-12,Argentina,Paraguay,Lionel Scaloni,4-3-3,1,0,1-0,3,9,Victoria,Estadio Mas Monumental,Buenos Aires,85018,82,15,4,75,741,90,10,1,0,3,0,03
2023-10-12,Paraguay,Argentina,Daniel Garnero,3-4-3,0,1,0-1,0,1,Derrota,Estadio Mas Monumental,Buenos Aires,85018,82,4,1,25,252,72,19,2,0,2,1,03
2023-10-12,Chile,Peru,Eduardo Berizzo,4-2-3-1,2,0,2-0,3,4,Victoria,Estadio Monumental David Arellano,Macul,47000,1883,13,7,64,572,85,10,2,0,1,8,03
2023-10-12,Peru,Chile,Juan Reynoso,4-2-3-1,0,2,0-2,0,1,Derrota,Estadio Monumental David Arellano,Macul,47000,1883,4,0,36,325,76,16,2,0,0,6,03
2023-10-12,Brazil,Venezuela,Fernando Diniz,4-2-3-1,1,1,1-1,1,7,Empate,Arena Pantanal,Cuiabá,41390,541,15,6,71,625,90,13,2,0,2,7,03
2023-10-12,Venezuela,Brazil,Fernando Batista,4-4-2,1,1,1-1,1,4,Empate,Arena Pantanal,Cuiabá,41390,541,9,2,29,250,76,11,2,0,1,5,03
2023-10-17,Venezuela,Chile,Fernando Batista,4-3-3,3,0,3-0,3,7,Victoria,Estadio Monumental de Maturín,Maturin,51796,220,13,6,42,367,84,14,1,0,1,2,04
2023-10-17,Chile,Venezuela,Eduardo Berizzo,4-3-3,0,3,0-3,0,4,Derrota,Estadio Monumental de Maturín,Maturin,51796,220,11,1,58,508,86,13,1,1,1,3,04
2023-10-17,Paraguay,Bolivia,Daniel Garnero,4-2-3-1,1,0,1-0,3,4,Victoria,Estadio Defensores del Chaco,Asunción,42354,141,13,7,63,393,79,12,2,0,3,8,04
